Id2,Geography,Age,2015,2020,2025,2030,,,,,,,,,
27013,Blue Earth,60 to 64," 2,309 "," 2,539 "," 2,380 "," 2,126 ",,,,,,,,,
27013,Blue Earth,65 to 74," 1,221 "," 1,624 "," 1,904 "," 1,918 ",,,,,,,,,
27013,Blue Earth,75+, 153 , 169 , 210 , 269 ,,,,,,,,,
27015,Brown,16 to 19, 837 , 865 , 815 , 711 ,,,,,,,,,
27015,Brown,20 to 24," 1,578 "," 1,753 "," 1,787 "," 1,692 ",,,,,,,,,
27015,Brown,25 to 29," 1,229 "," 1,274 "," 1,462 "," 1,507 ",,,,,,,,,
27015,Brown,30 to 34," 1,287 "," 1,141 "," 1,178 "," 1,355 ",,,,,,,,,
27015,Brown,35 to 44," 2,308 "," 2,357 "," 2,269 "," 2,159 ",,,,,,,,,
27015,Brown,45 to 54," 2,988 "," 2,383 "," 2,147 "," 2,180 ",,,,,,,,,
27015,Brown,55 to 59," 1,645 "," 1,481 "," 1,122 ", 934 ,,,,,,,,,
27015,Brown,60 to 64," 1,095 "," 1,228 "," 1,099 ", 833 ,,,,,,,,,
27015,Brown,65 to 74, 645 , 776 , 890 , 887 ,,,,,,,,,
27015,Brown,75+, 206 , 205 , 228 , 265 ,,,,,,,,,
27017,Carlton,16 to 19, 863 , 986 , 956 , 822 ,,,,,,,,,
27017,Carlton,20 to 24," 1,602 "," 2,024 "," 2,264 "," 2,193 ",,,,,,,,,
27017,Carlton,25 to 29," 1,569 "," 1,439 "," 1,883 "," 2,128 ",,,,,,,,,
27017,Carlton,30 to 34," 1,778 "," 1,521 "," 1,387 "," 1,816 ",,,,,,,,,
27017,Carlton,35 to 44," 3,645 "," 3,504 "," 3,194 "," 2,784 ",,,,,,,,,
27017,Carlton,45 to 54," 4,177 "," 3,740 "," 3,516 "," 3,345 ",,,,,,,,,
27017,Carlton,55 to 59," 1,977 "," 1,903 "," 1,615 "," 1,505 ",,,,,,,,,
27017,Carlton,60 to 64," 1,242 "," 1,451 "," 1,392 "," 1,175 ",,,,,,,,,
27017,Carlton,65 to 74, 708 , 895 ," 1,078 "," 1,130 ",,,,,,,,,
27017,Carlton,75+, 90 , 104 , 125 , 155 ,,,,,,,,,
27019,Carver,16 to 19," 3,161 "," 3,599 "," 3,466 "," 3,022 ",,,,,,,,,
27019,Carver,20 to 24," 4,894 "," 7,361 "," 8,343 "," 7,942 ",,,,,,,,,
27019,Carver,25 to 29," 4,383 "," 5,406 "," 8,243 "," 9,206 ",,,,,,,,,
27019,Carver,30 to 34," 5,590 "," 4,672 "," 5,759 "," 8,648 ",,,,,,,,,
27019,Carver,35 to 44," 12,439 "," 12,162 "," 10,987 "," 10,908 ",,,,,,,,,
27019,Carver,45 to 54," 14,294 "," 13,989 "," 13,592 "," 13,044 ",,,,,,,,,
27019,Carver,55 to 59," 6,309 "," 7,820 "," 7,777 "," 7,329 ",,,,,,,,,
27019,Carver,60 to 64," 3,434 "," 4,574 "," 5,664 "," 5,540 ",,,,,,,,,
27019,Carver,65 to 74," 2,093 "," 2,937 "," 3,985 "," 5,004 ",,,,,,,,,
27019,Carver,75+, 291 , 335 , 388 , 499 ,,,,,,,,,
27021,Cass,16 to 19, 626 , 694 , 718 , 636 ,,,,,,,,,
27021,Cass,20 to 24," 1,167 "," 1,355 "," 1,493 "," 1,553 ",,,,,,,,,
27021,Cass,25 to 29, 993 ," 1,034 "," 1,226 "," 1,376 ",,,,,,,,,
27021,Cass,30 to 34," 1,102 "," 1,008 "," 1,056 "," 1,266 ",,,,,,,,,
27021,Cass,35 to 44," 2,274 "," 2,140 "," 2,007 "," 1,988 ",,,,,,,,,
27021,Cass,45 to 54," 2,988 "," 2,322 "," 2,053 "," 1,956 ",,,,,,,,,
27021,Cass,55 to 59," 1,659 "," 1,441 "," 1,058 ", 891 ,,,,,,,,,
27021,Cass,60 to 64," 1,069 ", 988 , 863 , 639 ,,,,,,,,,
27021,Cass,65 to 74, 811 , 867 , 847 , 770 ,,,,,,,,,
27021,Cass,75+, 201 , 266 , 332 , 380 ,,,,,,,,,
27023,Chippewa,16 to 19, 328 , 335 , 329 , 291 ,,,,,,,,,
27023,Chippewa,20 to 24, 651 , 761 , 770 , 754 ,,,,,,,,,
27023,Chippewa,25 to 29, 577 , 570 , 675 , 686 ,,,,,,,,,
27023,Chippewa,30 to 34, 578 , 502 , 494 , 587 ,,,,,,,,,
27023,Chippewa,35 to 44," 1,154 "," 1,199 "," 1,134 "," 1,042 ",,,,,,,,,
27023,Chippewa,45 to 54," 1,361 "," 1,092 "," 1,002 "," 1,037 ",,,,,,,,,
27023,Chippewa,55 to 59, 767 , 704 , 545 , 448 ,,,,,,,,,
27023,Chippewa,60 to 64, 585 , 572 , 522 , 404 ,,,,,,,,,
27023,Chippewa,65 to 74, 369 , 447 , 480 , 453 ,,,,,,,,,
27023,Chippewa,75+, 77 , 77 , 86 , 101 ,,,,,,,,,
27025,Chisago,16 to 19," 1,656 "," 1,807 "," 1,614 "," 1,383 ",,,,,,,,,
27025,Chisago,20 to 24," 2,788 "," 3,723 "," 4,005 "," 3,601 ",,,,,,,,,
27025,Chisago,25 to 29," 2,344 "," 2,275 "," 3,163 "," 3,410 ",,,,,,,,,
27025,Chisago,30 to 34," 2,725 "," 2,377 "," 2,292 "," 3,183 ",,,,,,,,,
27025,Chisago,35 to 44," 6,128 "," 5,893 "," 5,649 "," 5,135 ",,,,,,,,,
27025,Chisago,45 to 54," 7,828 "," 6,835 "," 5,904 "," 5,589 ",,,,,,,,,
27025,Chisago,55 to 59," 3,211 "," 3,559 "," 3,102 "," 2,633 ",,,,,,,,,
27025,Chisago,60 to 64," 1,790 "," 2,262 "," 2,494 "," 2,158 ",,,,,,,,,
27025,Chisago,65 to 74," 1,076 "," 1,373 "," 1,719 "," 1,998 ",,,,,,,,,
27025,Chisago,75+, 125 , 156 , 202 , 256 ,,,,,,,,,
27027,Clay,16 to 19," 2,388 "," 2,001 "," 2,120 "," 2,025 ",,,,,,,,,
27027,Clay,20 to 24," 5,579 "," 5,666 "," 4,975 "," 5,150 ",,,,,,,,,
27027,Clay,25 to 29," 3,981 "," 4,334 "," 4,366 "," 3,564 ",,,,,,,,,
27027,Clay,30 to 34," 3,816 "," 4,010 "," 4,323 "," 4,335 ",,,,,,,,,
27027,Clay,35 to 44," 6,502 "," 7,292 "," 7,847 "," 8,279 ",,,,,,,,,
27027,Clay,45 to 54," 5,923 "," 5,757 "," 6,233 "," 6,890 ",,,,,,,,,
27027,Clay,55 to 59," 3,016 "," 3,002 "," 2,627 "," 2,772 ",,,,,,,,,
27027,Clay,60 to 64," 2,314 "," 2,672 "," 2,632 "," 2,292 ",,,,,,,,,
27027,Clay,65 to 74," 1,345 "," 1,776 "," 2,151 "," 2,264 ",,,,,,,,,
27027,Clay,75+, 247 , 270 , 325 , 411 ,,,,,,,,,
27029,Clearwater,16 to 19, 244 , 285 , 276 , 228 ,,,,,,,,,
27029,Clearwater,20 to 24, 368 , 488 , 559 , 538 ,,,,,,,,,
27029,Clearwater,25 to 29, 322 , 318 , 437 , 503 ,,,,,,,,,
27029,Clearwater,30 to 34, 361 , 326 , 320 , 437 ,,,,,,,,,
27029,Clearwater,35 to 44, 772 , 733 , 674 , 626 ,,,,,,,,,
27029,Clearwater,45 to 54, 895 , 778 , 754 , 706 ,,,,,,,,,
27029,Clearwater,55 to 59, 452 , 417 , 318 , 313 ,,,,,,,,,
27029,Clearwater,60 to 64, 296 , 320 , 294 , 222 ,,,,,,,,,
